
Accuracy: 92.77% (23330/25148)

Tag	Count	Prec	Rec
--------------------------------
ADJ	1789	88.43%	89.32%
ADP	2023	91.92%	95.65%
ADV	1266	88.36%	84.52%
AUX	916	92.49%	95.41%
CONJ	780	98.97%	98.21%
DET	1985	97.28%	97.18%
INTJ	115	98.72%	66.96%
NOUN	4267	88.16%	92.48%
NUM	378	97.26%	93.92%
PART	630	95.77%	93.33%
PRON	2058	98.34%	98.10%
PROPN	1878	85.94%	82.00%
PUNCT	3083	99.16%	99.87%
SCONJ	402	85.24%	76.12%
SYM	67	92.00%	68.66%
VERB	3357	93.60%	93.18%
X	154	83.15%	48.05%

