
Accuracy: 92.87% (23355/25148)

Tag	Count	Prec	Rec
--------------------------------
ADJ	1789	88.62%	89.21%
ADP	2023	92.15%	95.80%
ADV	1266	88.02%	85.31%
AUX	916	92.41%	95.74%
CONJ	780	98.97%	98.46%
DET	1985	97.52%	96.98%
INTJ	115	97.44%	66.09%
NOUN	4267	88.34%	92.48%
NUM	378	97.28%	94.44%
PART	630	95.60%	93.17%
PRON	2058	98.39%	98.10%
PROPN	1878	86.16%	82.22%
PUNCT	3083	99.19%	99.87%
SCONJ	402	85.87%	77.11%
SYM	67	92.00%	68.66%
VERB	3357	93.66%	93.36%
X	154	83.91%	47.40%

